RLO,SLO
Apply statistical machine learning concepts to concrete problems.,Have knowledge of the different paradigms for performing machine learning and appreciate when different approaches will be more or less appropriate.
"Define methods for solving classification, clustering, regression, and other statistical machine learning problems.","Understand the definition of a range of neural network models, including graph neural networks."
"Solve practical classification, clustering, and regression problems by using and combining several statistical machine learning approaches.",Derive and implement optimization algorithms for these models.
"Write coherently, concisely, and clearly in a range of formats and for a variety of audiences.",Understand the foundations of the Bayesian approach to machine learning.
"Explain the societal, legal, and ethical implications of statistical machine learning and optimization.",Construct Bayesian models for data and apply computational techniques to draw inferences from them.
Design new algorithms in statistical machine learning.,Have an understanding of how to choose a model to describe a particular type of data.
,Know how to evaluate a learned model in practice.
,Understand the mathematics necessary for constructing novel machine learning solutions.
,Design and implement various machine learning algorithms in a range of real-world applications.
